dataset,split,baseline,R-1,R-2,R-L
tldr,test,bart,0.3730759585395565,0.22195163139742627,0.3540891252670089
tldr,test,kl_sum,0.3254404580935045,0.2011032294974506,0.2925659744211485
tldr,test,lead_k,0.37197266366842496,0.26060253316000187,0.35849815253338424
tldr,test,lead_one,0.33373412056788443,0.24390148249750296,0.32316236705258244
tldr,test,random_k,0.29959701629034197,0.185645869163162,0.27819667230935285
tldr,test,text_rank,0.25316118764830514,0.15167077778893587,0.2290322190156144
tosdr,test,bart,0.4652775952296257,0.31344046361707956,0.4448937368083279
tosdr,test,kl_sum,0.6319829447937741,0.5575641532712121,0.6273013507091819
tosdr,test,lead_k,0.6424622010228354,0.5405764046943221,0.6365578467137664
tosdr,test,lead_one,0.6326779183259085,0.5337639190407062,0.6267735640168395
tosdr,test,random_k,0.516720890790622,0.4155679403857112,0.507703038318942
tosdr,test,text_rank,0.13006165108764917,0.08351141906063927,0.12667165355131016
small_billsum,test,bart,0.22306788721948748,0.06565046204717526,0.19192917083525438
small_billsum,test,kl_sum,0.3154174848616558,0.15301241413416863,0.260603047447339
small_billsum,test,lead_k,0.2683372638228528,0.08801141066243989,0.21898206520247768
small_billsum,test,lead_one,0.02159651064155432,0.000654041965864866,0.02134740297087704
small_billsum,test,random_k,0.2956356161411562,0.12211808494068238,0.23602201668863532
small_billsum,test,text_rank,0.9961655233211487,0.9582573543976015,0.9961655233211487
