dataset,split,baseline,R-1,R-2,R-L
tldr,test,bart,0.5532182235094718,0.4172220220807149,0.5375898378106636
tldr,test,kl_sum,0.3131334506466223,0.20436033002309267,0.28503027100555817
tldr,test,lead_k,0.5736266488428301,0.46059563200308473,0.5641133459788101
tldr,test,lead_one,0.34776491802782056,0.2722646507676021,0.342802138871493
tldr,test,random_k,0.4549756047607334,0.34138293488637333,0.44393881546307445
tldr,test,text_rank,0.4720600485461388,0.37910772064812537,0.4663805257211109
tosdr,test,bart,0.569890796039725,0.39805764951986883,0.5586897036552368
tosdr,test,kl_sum,0.5301045912849885,0.39424362448197786,0.5230574628541425
tosdr,test,lead_k,0.6876623917483321,0.544869330870973,0.6830872865923919
tosdr,test,lead_one,0.5689674189855318,0.44539578383782635,0.5652703830851061
tosdr,test,random_k,0.5945747527976419,0.45217683609999815,0.5867909528639282
tosdr,test,text_rank,0.3154421668874568,0.23578149246880153,0.3109319696240852
small_billsum,test,bart,0.210828182950366,0.06680516915099104,0.19203555811565418
small_billsum,test,kl_sum,0.32931192034491386,0.1689417783882272,0.27373501621814755
small_billsum,test,lead_k,0.2682208528978782,0.10527594089802607,0.2450917194809313
small_billsum,test,lead_one,0.040741019732083175,0.0005997688906008341,0.03731589670493933
small_billsum,test,random_k,0.2696932364275859,0.10933596458824164,0.22925630954917064
small_billsum,test,text_rank,0.5433151286354623,0.4239963663684791,0.5098270909648296
