Test Dataset,Train Dataset,Experiment,Prediction Quality,Prediction Match,Reference Quality
tldr,tldr,within-dataset,3,1,3
tldr,tldr,within-dataset,2,1,2
tldr,tosdr,across-dataset,3,1,3
tldr,tosdr,across-dataset,1,1,2
tldr,billsum,across-dataset,3,1,3
tldr,billsum,across-dataset,1,1,2
tosdr,tosdr,within-dataset,1,2,2
tosdr,tosdr,within-dataset,3,1,1
tosdr,tldr,across-dataset,2,2,2
tosdr,tldr,across-dataset,3,1,1
tosdr,billsum,across-dataset,1,2,2
tosdr,billsum,across-dataset,3,1,1
billsum,billsum,within-dataset,2,3,3
billsum,billsum,within-dataset,2,3,3
billsum,tldr,across-dataset,2,1,3
billsum,tldr,across-dataset,2,1,3
billsum,tosdr,across-dataset,2,1,3
billsum,tosdr,across-dataset,1,1,3
tldr,tldr,pre-simplification,3,1,3
tldr,tldr,pre-simplification,2,1,2
tosdr,tosdr,pre-simplification,1,2,2
tosdr,tosdr,pre-simplification,3,1,1
billsum,billsum,pre-simplification,3,2,3
billsum,billsum,pre-simplification,3,2,3
tldr,tldr,post-simplification,3,1,3
tldr,tldr,post-simplification,2,1,2
tosdr,tosdr,post-simplification,1,2,2
tosdr,tosdr,post-simplification,1,1,1
billsum,billsum,post-simplification,3,2,3
billsum,billsum,post-simplification,2,3,3
